#NAME	CopdIAA.1	CopdIAA.2	CopdIAA.3	CopdIAA.4	CopdPBS.1	CopdPBS.2	CopdPBS.3	CopdPBS.4	CtrlIAA.1	CtrlIAA.2	CtrlIAA.3	CtrlIAA.4	CtrlPBS.1	CtrlPBS.2	CtrlPBS.3	CtrlPBS.4
#CLASS	COPDIAA	COPDIAA	COPDIAA	COPDIAA	COPDPBS	COPDPBS	COPDPBS	COPDPBS	ControlIAA	ControlIAA	ControlIAA	ControlIAA	ControlPBS	ControlPBS	ControlPBS	ControlPBS
Scaf11	1376	1347	1567	2284	2034	1358	1163	1864	1481	1808	2360	2585	1780	2068	2612	2691
Scaf4	620	526	656	740	678	507	492	658	593	680	971	943	625	819	855	1073
Scaf8	660	605	707	1061	910	664	538	843	651	845	1142	1164	826	935	1113	1120
Scai	40	70	111	113	94	41	45	70	53	128	118	82	92	50	71	100
Scamp1	1433	1644	1713	2551	2368	1536	1281	2116	1407	1726	1930	2569	1570	1939	2120	2045
Scamp2	1470	1489	1414	2073	2045	1754	1403	1668	989	1217	1526	1789	1243	1695	1409	1936
Scamp3	1468	1172	1267	1741	1597	1473	1384	1537	1090	1113	1611	1932	1161	1599	1568	1631
Scamp4	1081	818	914	1252	1154	1073	983	980	785	876	1072	1365	827	1192	1008	1128
Scamp5	111	112	95	175	114	124	118	120	77	100	92	144	84	107	82	207
Scand1	3451	3102	2369	3251	3104	3348	2803	2867	1881	2271	2461	2648	1977	3035	2435	2711
Scap	1808	1370	1689	2341	2065	1938	1564	1920	1460	1656	2144	2765	1656	1863	2384	2495
Scaper	218	207	245	336	329	188	165	284	315	343	363	374	339	240	472	461
Scara3	61	78	97	92	134	65	75	106	77	94	119	119	98	102	130	374
Scara5	85	52	105	116	129	97	106	136	164	167	233	289	243	150	351	1017
Scarb1	1803	1040	1928	2294	1549	1845	1216	1893	1368	1186	2040	2443	1075	2097	1671	2310
Scarb2	5721	6222	7236	8948	7952	6605	5421	7005	6506	7074	9119	11525	6645	7329	9201	10123
Scarf1	625	504	710	746	582	646	588	725	595	655	862	903	491	658	698	595
Scarf2	3329	2605	3787	4253	2421	3702	2591	3123	3136	3435	4221	5362	2606	3065	3402	3742
Scarletltr	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1
Scarna10	4	10	11	0	10	7	0	39	7	0	5	3	12	14	3	3
Scarna13	3	1	2	3	0	2	2	9	1	1	8	4	1	2	4	4
Scarna2	14	27	34	29	23	27	35	41	29	21	51	19	22	30	35	16
Scarna3a	0	0	0	0	0	0	1	0	2	0	3	2	2	0	1	0
Scarna3b	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1
Scarna6	0	1	1	1	1	2	1	5	2	0	2	1	2	1	3	2
Scarna8	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
Sccpdh	306	315	293	355	378	265	219	377	294	456	526	530	382	436	472	558
Scd1	64576	117472	74681	151255	124005	99012	49605	102232	50166	55160	74218	118675	55707	55530	87652	95684
Scd2	16301	12876	18112	20796	20770	16221	12880	18834	13876	17710	22441	28781	20760	13586	25887	19473
Scd3	9	1	6	5	3	1	1	4	2	7	2	10	3	5	3	9
Scd4	35	25	49	49	21	35	40	23	24	47	41	43	51	27	49	44
Scel	622	288	741	950	773	432	589	772	525	771	732	860	782	732	1257	923
Scfd1	304	401	401	594	517	248	322	431	458	611	641	595	458	521	542	724
Scfd2	230	224	210	275	266	215	197	218	176	199	251	276	190	214	232	343
Scg2	1	1	0	3	8	2	0	4	6	3	3	4	6	14	4	9
Scg3	0	5	1	0	7	8	2	1	5	0	6	11	6	12	3	11
Scg5	3	16	8	11	12	8	9	19	14	13	9	18	12	19	23	17
Scgb1a1	383261	401853	285751	362985	370821	463684	361429	443712	522432	624950	627297	683891	508499	908290	482480	441267
Scgb1b27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Scgb1b30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Scgb1c1	115	116	137	105	99	132	154	112	190	227	286	282	166	328	183	174
Scgb2a2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Scgb2b27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Scgb2b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scgb3a1	7122	10322	175	7235	33311	4555	2617	23658	4461	9387	3667	9290	12004	5126	11334	12854
Scgb3a2	13114	13076	4519	11980	23492	13504	7775	18457	22009	30837	26706	27116	35545	26516	26583	28169
Schip1	619	420	639	775	595	514	460	655	577	683	918	949	645	675	857	841
Scimp	127	119	102	206	175	118	134	143	56	38	41	86	31	62	63	50
Scin	13	16	6	23	26	13	25	13	9	24	14	16	10	8	18	58
Sclt1	61	62	67	73	85	42	56	56	52	111	85	89	100	73	80	108
Scly	570	506	490	700	545	551	481	512	410	383	485	707	374	576	494	597
Scmh1	794	642	787	897	821	860	812	761	690	752	920	1124	741	794	856	993
Scml2	3	2	2	7	5	4	2	4	4	7	5	8	10	1	4	14
Scml4	48	40	59	50	53	33	28	87	32	30	61	55	37	91	46	125
Scn10a	3	4	3	8	1	0	15	4	6	2	11	5	2	9	6	66
Scn11a	0	3	0	2	3	0	2	2	0	0	0	0	0	0	0	1
Scn1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Scn1b	304	190	197	343	293	379	328	366	232	288	323	380	296	502	317	496
Scn2a	10	15	6	8	10	7	7	4	9	13	5	14	7	1	7	21
Scn2b	11	6	7	12	4	13	11	15	14	9	11	6	7	14	4	30
Scn3a	92	74	175	141	68	58	44	145	170	203	228	242	141	115	170	176
Scn3b	646	526	907	895	697	820	373	1051	704	843	1047	1185	529	809	861	1026
Scn4a	10	13	21	16	13	9	10	21	16	6	14	25	11	23	15	57
Scn4b	9	6	2	12	9	9	4	7	10	4	6	20	10	10	9	39
Scn5a	52	54	47	65	50	42	19	94	74	150	123	121	123	84	99	99
Scn7a	1230	1134	2377	2198	1641	1030	581	2060	1861	2842	4414	2635	2078	2153	3002	2662
Scn8a	0	2	6	4	2	3	1	3	0	7	3	3	3	5	3	5
Scn9a	3	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0
Scnm1	409	327	329	430	438	417	358	401	301	398	475	445	362	478	406	436
Scnn1a	9378	7510	9038	10494	10820	10787	8269	8530	8221	9821	12747	14248	11224	9679	15444	12872
Scnn1b	2268	1346	2127	2260	2131	2187	2337	2234	2216	2880	3665	3959	3078	3165	3306	2730
Scnn1g	2889	1622	3093	3616	3656	2723	2493	3124	2858	3324	4460	5121	3939	3146	5308	3549
Sco1	153	119	121	185	175	160	151	189	136	129	194	242	156	207	188	208
Sco2	94	65	81	104	101	63	124	102	118	85	97	104	68	142	74	80
Scoc	269	301	327	410	444	199	235	382	390	553	518	442	426	413	497	405
Scp2	3999	5075	4084	6173	6291	4432	3848	5215	3746	4484	5341	5899	4214	5046	6016	6652
Scp2-ps2	13	28	17	29	19	4	1	10	16	22	20	7	6	12	17	22
Scpep1	1177	1083	1020	1647	1262	1273	990	1087	832	847	1311	1266	911	1160	1193	1677
Scpep1os	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1
Scrg1	4	10	4	0	3	0	3	2	3	7	9	5	13	12	5	4
Scrib	1453	1204	1396	1870	1700	1501	1421	1616	1520	1458	2053	2428	1534	1802	2103	2135
Scrn1	771	424	657	697	532	607	586	636	687	634	852	1142	621	492	877	833
Scrn2	398	258	233	318	285	392	361	334	225	277	334	443	258	291	354	273
Scrn3	296	318	331	446	428	274	250	406	390	551	613	612	496	469	645	502
Scrt1	3	7	5	8	11	7	3	3	0	1	1	1	1	3	1	4
Scrt2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sct	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0
Sctr	0	0	0	0	1	0	4	0	1	0	0	0	0	1	0	24
Scube1	297	204	477	412	246	360	232	352	316	334	456	615	244	256	416	504
Scube2	357	177	537	427	238	245	220	312	525	496	830	959	529	433	672	603
Scube3	17	13	34	22	27	16	28	31	16	20	27	30	23	36	22	91
Scx	343	275	377	372	376	411	369	344	353	323	350	467	275	288	494	357
Scyl1	1978	1682	1882	2412	2097	2196	1988	1953	1714	1726	2499	2860	1716	2309	2467	2500
Scyl2	416	529	549	816	745	449	388	624	491	613	696	900	562	711	815	887
Scyl3	233	257	313	441	386	265	238	306	240	285	433	406	277	353	332	476
Sdad1	222	228	255	375	321	232	198	296	214	260	385	358	242	554	277	404
Sdc1	7175	8230	7273	9196	9869	9223	7188	8655	5511	7356	8618	12110	6922	8168	10318	9756
Sdc2	782	719	982	1149	884	741	550	955	1025	1398	1557	1504	1175	991	1253	1631
Sdc3	3392	2330	3040	4231	2956	3240	2662	3080	2322	2169	3975	3792	2143	3054	3306	5767
Sdc4	6033	6107	5199	7082	7061	6620	6192	6013	5154	5888	6933	8545	5197	8335	7287	7605
Sdcbp	4834	5794	5477	8386	8007	5349	4390	6498	4743	5384	6838	7262	5308	7122	6867	7136
Sdcbp2	82	45	52	86	146	55	82	95	80	62	57	139	86	97	92	159
Sdccag8	264	280	307	497	467	283	255	408	305	446	475	461	392	422	486	527
Sde2	501	395	404	535	583	430	374	580	395	453	648	594	425	606	539	787
Sdf2	1033	1127	991	1310	1373	1177	1081	1160	882	1114	1230	1421	1010	1185	1162	1312
Sdf2l1	950	890	722	1535	1541	1330	1436	1234	1034	773	1017	1796	845	1406	896	1348
Sdf4	5589	4551	4911	6337	5715	5474	4392	5435	4682	4888	6507	7298	4754	5499	6358	7507
Sdha	4298	3835	4169	4970	4872	4269	3546	4562	3656	4167	5482	6054	4037	4883	5295	6827
Sdhaf1	500	485	474	534	484	548	392	505	312	418	447	612	415	489	520	779
Sdhaf2	581	533	617	837	776	647	448	731	516	669	672	809	581	806	662	700
Sdhaf3	47	26	48	69	53	48	37	53	38	61	76	66	36	64	72	93
Sdhaf4	273	279	265	352	374	264	226	341	237	295	355	332	281	226	297	302
Sdhb	1904	1774	1511	2140	2059	1998	1644	1833	1579	1529	2108	2379	1579	2264	2034	2900
Sdhc	2137	1911	1741	2332	2336	2166	1685	2272	1639	1897	2259	2566	1829	2494	2188	2397
Sdhd	1506	1479	1306	1937	1824	1585	1137	1652	1087	1431	1599	1806	1277	1805	1602	2000
Sdk1	71	62	73	143	79	84	57	76	49	59	81	104	55	45	84	120
Sdk2	45	20	66	49	36	25	13	42	49	64	94	92	63	45	67	86
Sdr39u1	672	545	549	629	635	602	520	666	492	600	691	795	530	712	696	715
Sdr42e1	95	80	82	134	146	99	69	143	70	99	90	139	81	86	119	163
Sdr9c7	3	2	7	3	0	4	2	2	1	3	2	3	1	3	2	5
Sds	10	8	6	11	13	9	5	9	13	8	12	17	9	12	18	10
Sdsl	28	33	27	30	28	20	46	29	16	16	21	30	24	11	18	35
Sebox	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sec1	72	149	109	152	131	82	67	95	44	33	64	77	32	71	59	58
Sec11a	1101	1193	1158	1456	1499	1163	1124	1299	982	1270	1496	1738	1219	1531	1226	1593
Sec11c	735	988	960	1475	1700	976	742	1217	711	881	1010	1032	863	1148	902	1205
Sec13	1361	1177	1310	1609	1568	1576	1337	1486	1225	1391	1781	1995	1257	2004	1643	1842
Sec14l1	4783	3711	4404	5617	5329	4491	4167	5316	5613	5689	8009	8484	5849	6487	7332	6834
Sec14l2	538	596	527	639	677	575	524	618	656	706	843	1226	639	760	942	986
Sec14l3	20258	10699	15117	21991	22791	16787	13205	20959	23322	25435	34648	33309	27901	24001	37410	29120
Sec14l4	1636	1577	1571	1842	1798	1812	1636	1666	1297	1767	2217	2872	1825	1768	2805	2622
Sec14l5	36	32	39	33	42	36	16	56	38	97	88	92	71	48	64	77
Sec16a	1206	1145	1469	1952	1677	1342	1213	1578	1342	1313	1993	2325	1287	1800	1807	2125
Sec16b	41	60	96	71	43	41	40	54	59	93	96	75	62	33	64	87
Sec22a	477	466	449	562	543	515	408	486	342	464	530	601	418	453	600	542
Sec22b	1152	1170	1184	1486	1461	1230	1113	1338	1162	1344	1613	1710	1131	1555	1490	1529
Sec22c	325	249	329	442	364	301	281	452	265	409	409	504	366	364	405	429
Sec23a	316	411	425	532	530	345	367	490	433	452	604	626	409	411	581	632
Sec23b	1141	1132	1052	1480	1534	1232	1063	1323	1170	1324	1597	1764	1250	1675	1601	1718
Sec23ip	759	767	856	1198	1076	772	684	1014	850	1021	1417	1373	887	1192	1114	1337
Sec24a	230	283	316	401	453	221	256	373	274	358	468	470	310	398	413	482
Sec24b	987	994	1214	1652	1312	1045	816	1216	995	1198	1623	1784	1248	1409	1512	1758
Sec24c	2652	2399	2568	3108	3307	2769	2514	2922	2438	2618	3382	3799	2595	3550	3168	3248
Sec24d	808	793	901	1184	1011	910	793	938	1016	976	1382	1662	932	1086	1199	1750
Sec31a	2665	2275	2814	3508	2885	2918	2629	2821	2808	2669	3601	4554	2513	3324	3478	4366
Sec31b	21	18	27	35	23	18	23	25	21	22	27	15	23	21	27	43
Sec61a1	3659	3587	3825	4920	4636	4388	4110	4089	3562	3574	4783	6017	3339	5165	4533	5509
Sec61a2	56	50	72	74	81	67	67	92	62	100	140	122	94	102	116	107
Sec61b	1802	1930	1522	2376	2486	1955	1526	2183	1533	1751	1863	2157	1737	2455	1856	1783
Sec61g	281	256	207	268	293	220	240	271	235	225	301	327	259	350	232	342
Sec62	2553	2533	2817	3319	3647	2226	2472	3146	3304	4081	3270	3991	3917	3752	4579	4024
Sec63	1601	1700	2030	2557	2407	1516	1430	2238	2429	2735	2926	3390	2610	2524	3390	3619
Secisbp2	286	293	311	396	366	301	234	360	280	348	414	479	313	407	392	378
Secisbp2l	1618	2416	2585	3657	3285	1602	1612	2979	2161	2710	3084	4178	2554	2351	4622	4683
Sectm1a	3	3	1	6	0	3	3	1	0	2	0	0	0	3	1	5
Sectm1b	0	7	1	9	11	6	2	12	4	1	3	4	6	2	3	9
Seh1l	867	746	909	1197	1078	824	633	1064	878	1029	1246	1342	943	1274	1237	1214
Sel1l	2124	2067	2471	3445	3224	2264	2012	2823	2237	2374	3111	4133	2304	2598	3246	3879
Sel1l3	112	150	160	193	185	129	154	156	107	113	114	239	98	146	198	154
Sele	6	6	8	10	12	5	9	17	9	7	9	9	9	2	19	27
Selenbp1	21378	21618	16682	21607	27418	26260	15836	22149	17479	25225	31528	30020	28268	28373	30881	32419
Selenbp2	76	81	79	79	84	111	76	82	80	118	109	143	113	87	148	138
Selenof	6314	6154	6235	7822	7437	6213	4973	6613	6322	7084	8912	9081	6706	7158	8279	8417
Selenoh	714	678	528	715	737	746	565	617	436	534	579	708	482	721	662	723
Selenoi	366	327	406	577	513	323	330	477	427	521	675	720	499	590	522	660
Selenok	2273	2073	2197	2776	2988	2431	1935	2682	2300	2701	3025	3188	2521	2982	2796	2953
Selenok-ps1	1	2	2	0	1	0	1	2	4	4	0	1	1	0	0	1
Selenok-ps5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Selenom	1186	857	817	975	850	1001	1164	825	904	961	1365	1317	854	1089	1010	1558
Selenon	1332	1346	1485	1758	1345	1415	1380	1350	979	1202	1384	1890	1065	1320	1449	1976
Selenoo	513	398	500	606	548	555	403	521	442	485	654	689	464	598	568	737
Selenop	15058	14341	16383	18897	17290	13157	10692	16630	14799	17506	23198	23204	15619	16366	21943	26763
Selenos	1731	1644	1601	2117	2338	1829	1451	2193	1845	2139	2421	2710	2226	2530	2327	2365
Selenot	1885	2430	2245	3397	3567	1646	1874	3090	2607	3417	3348	3744	3119	3355	3751	3500
Selenov	1	2	0	0	0	0	1	0	1	2	1	1	0	2	0	2
Selenow	10510	8396	6085	7979	7700	8674	7849	7310	7204	7086	7601	8225	6691	8128	7960	7788
Sell	591	738	700	602	464	409	475	623	366	340	1568	579	661	3166	589	926
Selp	89	100	147	104	77	83	166	93	51	40	116	101	63	156	80	231
Selplg	2475	2596	2207	4191	4157	2555	1814	3163	1018	923	1673	1771	1395	3482	1831	2681
Sem1	2403	2566	2191	2983	3121	2437	1880	2667	1823	2405	2981	2662	2218	3138	2391	2616
Sema3a	571	369	658	1041	843	493	494	807	654	868	1035	1039	974	566	1211	821
Sema3b	1726	1224	1669	2077	1926	2189	1988	1832	1790	1795	2560	3195	2135	1614	2927	2172
Sema3c	3045	4490	5402	6761	3872	2796	2652	5754	4432	6409	7113	9381	4426	6021	7140	8811
Sema3d	252	385	335	415	206	191	268	229	307	436	436	392	370	143	337	691
Sema3e	941	792	1394	2110	1737	1074	1059	1560	1385	1881	2030	2541	1946	1511	2905	1924
Sema3f	4020	2192	4087	3978	3241	3411	2516	4169	3724	3923	5698	6258	3429	5022	5335	6229
Sema3g	3499	1677	4311	3891	2922	3245	1717	4687	4157	4336	5660	7598	3358	4769	5677	7023
Sema4a	1613	1994	1817	2676	2388	2008	1392	1952	722	815	1160	1569	881	1556	1267	1363
Sema4b	444	477	465	700	738	598	412	587	297	411	481	597	406	486	494	820
Sema4c	621	509	603	820	678	602	445	745	558	519	849	800	497	612	768	1118
Sema4d	925	851	812	1520	1375	832	659	1043	299	337	547	579	430	854	567	721
Sema4f	607	775	719	903	771	843	807	767	421	628	606	1230	502	575	908	635
Sema4g	37	38	51	51	43	37	22	42	30	40	51	44	39	36	52	38
Sema5a	353	354	497	518	332	337	318	382	425	475	828	691	402	403	681	1774
Sema5b	1	0	0	3	0	3	1	2	0	1	4	2	0	1	4	4
Sema6a	967	843	1498	1190	734	950	648	1153	829	1166	1664	1698	851	1081	1339	1367
Sema6b	369	427	520	629	425	482	420	524	514	441	801	664	421	1129	642	859
Sema6c	92	70	89	82	74	93	51	85	47	83	93	84	72	44	84	91
Sema6d	502	411	839	882	571	494	409	716	613	716	1043	1084	627	761	956	800
Sema7a	1622	824	2065	1981	1431	1399	669	2373	2571	2831	4980	4705	2880	6361	4354	4722
Senp1	493	418	603	689	516	456	405	583	496	586	755	770	471	657	651	813
Senp2	1310	1190	1418	1824	1800	1244	1127	1582	1385	1573	1861	2116	1631	1800	2038	1759
Senp3	989	999	1045	1389	1159	1073	879	1034	775	990	1290	1418	927	1229	1285	1432
Senp5	320	320	380	532	529	337	283	492	403	479	634	639	380	605	588	561
Senp6	742	857	975	1499	1256	645	732	1080	1121	1405	1330	1521	1303	1319	1661	1609
Senp7	205	213	230	337	320	166	141	278	224	299	363	343	281	210	358	405
Senp8	27	43	36	58	67	38	44	50	30	70	59	86	55	43	55	32
Sephs1	768	739	766	1103	927	775	608	884	556	781	941	1051	710	807	954	977
Sephs2	812	936	928	1307	1125	879	783	1065	599	710	1011	1184	765	1216	1116	1331
Sepsecs	351	390	407	560	562	301	322	477	339	512	580	685	463	490	653	588
1-Sep	777	590	538	916	1034	642	421	830	213	268	373	429	378	814	414	866
10-Sep	281	328	346	461	397	275	193	379	310	357	452	480	336	303	432	508
11-Sep	1310	1198	1462	2149	1908	1439	1185	1935	1646	1590	2111	2686	1302	2177	1983	2120
12-Sep	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
14-Sep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Sep	3444	3426	3910	5375	4440	3342	2794	4131	3628	4386	5500	5665	3989	4395	5177	5647
3-Sep	134	156	160	306	287	184	108	170	64	82	86	82	101	88	111	94
4-Sep	3093	2077	3060	2823	2029	2715	1800	2656	2682	3247	3957	3850	2516	2392	3007	2987
5-Sep	318	225	225	305	301	328	232	315	323	371	406	518	387	472	411	393
6-Sep	497	431	408	748	764	504	286	624	252	309	368	382	362	526	356	672
7-Sep	1398	1793	1798	2545	2180	1181	1299	2003	1952	2659	2600	2303	2426	2234	2592	2159
8-Sep	1559	1305	1612	2112	1733	1569	1305	1706	1317	1552	1989	2379	1470	1522	1997	2405
9-Sep	3406	3035	3330	5580	5031	4498	2754	4097	2177	2074	2843	4124	1989	3746	3139	4387
Serac1	46	31	49	47	52	38	35	47	27	41	76	50	37	49	50	61
Serbp1	4080	4223	4034	5911	5568	3772	3320	5222	4137	5193	6102	6117	5045	5695	5718	6773
Serf1	106	99	79	147	166	113	98	156	107	130	135	162	114	117	127	152
Serf2	9670	8100	7782	10912	10125	10199	8920	9759	8602	8425	9903	11664	8246	10648	9911	9430
Sergef	232	237	203	284	233	241	227	226	188	196	220	310	136	226	247	262
Serhl	278	302	254	344	276	324	237	252	180	234	252	317	221	221	286	336
Serinc1	1956	2062	2849	3823	3140	1959	1872	3007	2504	3363	4725	4238	2976	3050	4121	5016
Serinc2	797	755	756	1065	1242	1031	862	914	633	684	901	1095	786	762	1018	805
Serinc3	15519	13724	20058	19748	18661	14179	9841	16942	14974	18098	28322	24730	18004	20725	23527	31187
Serinc4	2	3	3	14	6	2	1	3	1	1	4	14	2	2	6	3
Serinc5	1327	1377	1669	2002	1671	1364	1060	1532	1169	1498	1789	2177	1330	1057	1920	2082
Serp1	3917	4208	3904	5828	6725	3929	3349	5318	3962	4378	5340	5641	4486	6376	4929	5907
Serp2	36	26	11	25	19	22	27	17	23	21	25	19	18	30	23	35
Serpina10	34	34	33	57	104	58	35	57	26	30	28	48	22	35	41	47
Serpina11	6	3	7	5	14	11	4	9	4	5	9	6	1	4	6	5
Serpina12	2	5	2	2	1	0	1	1	1	1	0	0	0	2	0	2
Serpina16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpina1a	218	211	233	251	240	195	177	209	166	239	246	224	169	221	225	244
Serpina1b	464	409	380	513	395	407	366	463	362	427	483	547	391	485	473	564
Serpina1c	202	175	181	231	238	187	145	213	177	214	253	287	199	180	229	238
Serpina1d	187	171	214	215	227	179	191	216	178	202	229	240	171	213	221	254
Serpina1e	53	53	51	71	50	49	36	47	55	44	115	64	36	50	46	66
Serpina1f	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Serpina3b	0	0	1	0	0	0	21	1	2	1	0	3	0	0	0	30
Serpina3c	199	166	304	191	169	163	222	175	150	236	394	247	233	216	260	417
Serpina3d-ps	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Serpina3e-ps	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
Serpina3f	386	139	118	337	218	148	612	158	121	54	139	139	79	630	67	228
Serpina3g	940	481	412	826	759	564	1320	530	227	186	287	338	215	1258	203	800
Serpina3h	22	22	56	106	20	23	21	26	12	8	9	14	4	21	20	21
Serpina3i	18	32	49	55	22	26	23	19	15	21	20	22	7	47	18	21
Serpina3j	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpina3k	306	296	303	389	349	300	253	358	310	301	457	420	305	395	381	401
Serpina3l-ps	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Serpina3m	152	88	154	105	112	76	122	101	96	116	249	182	112	246	144	168
Serpina3n	1552	1118	2250	1772	1213	1500	1653	1277	1583	1775	2669	2632	1914	3045	2260	2360
Serpina4-ps1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Serpina5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Serpina6	269	196	233	250	293	246	213	260	211	266	321	361	253	288	282	324
Serpina7	2	1	2	4	2	4	6	1	1	6	4	3	7	4	2	3
Serpina9	66	83	17	81	287	61	45	203	33	116	61	163	102	59	96	175
Serpinb10	34	39	36	43	35	14	33	25	17	8	74	12	37	142	31	37
Serpinb11	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2
Serpinb12	4	3	0	5	18	7	1	9	1	0	0	0	0	2	0	3
Serpinb1a	565	711	646	1098	1186	756	653	921	361	436	570	735	387	481	517	909
Serpinb1b	18	8	12	13	16	11	14	19	12	9	28	32	13	18	18	24
Serpinb1c	0	0	1	2	5	0	1	4	2	1	1	3	2	3	0	1
Serpinb2	20	14	29	18	8	5	27	20	20	5	24	16	10	24	18	49
Serpinb5	0	0	0	0	4	0	1	0	0	0	0	1	2	1	1	3
Serpinb6a	3713	3107	3425	4155	3917	3578	3157	3420	3307	3678	4469	4507	3369	3342	4269	4659
Serpinb6b	1878	2076	1867	2971	2820	2077	2334	2350	2258	2418	2801	3224	2538	2249	3148	2184
Serpinb6c	0	1	2	4	3	1	0	1	1	3	1	2	5	6	1	3
Serpinb7	3	1	0	1	1	0	1	1	1	0	0	0	0	1	1	0
Serpinb8	124	122	137	168	148	123	170	140	125	168	248	203	142	249	164	185
Serpinb9	2186	2247	2417	3346	2951	2539	2882	2500	2080	2634	3166	3902	2258	2406	3417	2583
Serpinb9b	18	14	20	23	14	8	6	16	9	8	22	15	13	26	14	28
Serpinb9g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinc1	178	185	206	239	223	174	141	229	150	227	240	282	197	182	174	242
Serpind1	107	180	138	182	243	143	113	166	74	80	98	160	100	77	113	132
Serpine1	270	244	369	450	400	345	253	361	299	298	336	557	186	373	395	836
Serpine2	1931	2051	1997	2893	2703	2557	1524	2304	1760	2345	2611	3061	1975	2031	2276	2132
Serpine3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Serpinf1	325	361	285	454	389	439	391	347	366	364	433	564	448	505	474	1029
Serpinf2	56	63	70	64	53	59	47	48	42	61	81	82	60	65	64	76
Serping1	8954	8485	9490	11027	7779	8919	9522	6591	7590	7937	11152	10580	7094	7410	8596	12494
Serpinh1	7763	6935	9315	13097	8806	10138	12246	10358	11172	9841	8689	20332	7870	11747	8454	12667
Serpini1	13	9	18	11	20	10	7	17	11	18	19	8	20	18	16	19
Serpini2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1
Sertad1	602	391	399	388	496	503	626	515	385	537	696	557	432	908	532	596
Sertad2	898	638	929	1048	1003	865	627	994	697	1022	1339	1246	835	963	1294	1375
Sertad3	333	304	290	352	405	303	332	320	177	340	345	329	259	348	328	340
Sertad4	86	91	95	100	64	74	106	65	77	87	125	147	63	48	90	87
Sertm1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sesn1	720	719	873	1009	957	642	479	842	990	995	1562	1103	1258	953	1165	2541
Sesn2	474	516	558	685	550	515	480	445	574	397	696	920	577	772	964	1806
Sesn3	718	802	820	1169	1064	719	718	799	643	747	864	1289	739	625	973	1260
Sestd1	473	457	601	704	666	509	386	586	484	694	854	822	706	575	928	866
Set	3218	3115	3168	4753	4652	3339	2748	4114	3212	3674	4516	4653	3542	5027	4531	4964
Setbp1	150	151	300	391	249	159	142	234	317	317	371	466	276	227	407	552
Setd1a	981	913	1074	1243	988	896	813	1022	828	994	1421	1506	939	1138	1500	1587
Setd1b	692	680	843	1134	897	789	648	911	594	692	1174	1151	647	808	919	1078
Setd2	972	1029	1335	1812	1349	917	746	1374	1213	1409	1788	1809	1435	1259	1761	1820
Setd3	3160	2393	2854	3568	3293	2772	2195	3315	3216	3261	3888	4372	3168	3355	4424	4196
Setd4	49	36	41	60	44	58	29	61	32	56	61	56	45	53	68	73
Setd5	955	830	1272	1465	1209	959	841	1346	982	1325	1783	1713	1038	1445	1437	2111
Setd6	162	145	168	249	210	160	155	184	145	190	279	261	169	214	260	247
Setd7	940	918	1164	1372	1261	863	848	1255	910	1150	1458	1634	1045	1140	1265	1707
Setdb1	550	454	551	686	667	523	432	666	484	587	760	774	561	752	659	570
Setdb2	108	103	110	121	142	73	63	95	56	93	98	100	75	92	129	139
Setmar	60	63	49	84	78	60	39	55	42	55	111	80	63	70	88	78
Setx	821	831	1003	1434	1192	712	614	1092	849	1133	1479	1336	1067	1224	1343	1413
Sez6	0	0	0	0	0	0	1	1	1	0	0	3	0	0	1	0
Sez6l	2	0	3	1	1	1	44	2	1	0	13	5	2	17	1	422
Sez6l2	9	6	12	14	21	14	11	18	8	14	17	19	15	27	23	36
